ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
317,2004,太原市,140100,山西省,中部,0,734,317,317,100,635,239,298,98,
318,2005,太原市,140100,山西省,中部,0,867,372,395,100,609,196,332,81,
319,2006,太原市,140100,山西省,中部,0,1159,506,545,108,681,218,370,93,
320,2007,太原市,140100,山西省,中部,0,1385,604,661,120,906,208,598,100,
321,2008,太原市,140100,山西省,中部,0,1659,696,817,146,1127,304,760,63,
322,2009,太原市,140100,山西省,中部,0,2135,919,1056,160,1448,411,848,189,
323,2010,太原市,140100,山西省,中部,0,2574,1110,1258,206,1951,442,1240,269,
324,2011,太原市,140100,山西省,中部,0,3153,1616,1399,138,2211,639,1383,189,
325,2012,太原市,140100,山西省,中部,0,4149,1982,1846,321,2372,799,1435,138,
326,2013,太原市,140100,山西省,中部,0,4258,2155,1888,215,3482,949,2205,328,
327,2014,太原市,140100,山西省,中部,0,4840,2388,2187,265,3526,1008,2272,246,
328,2015,太原市,140100,山西省,中部,0,5712,2616,2803,293,4300,1416,2564,320,
329,2016,太原市,140100,山西省,中部,0,7249,3226,3730,293,4526,1595,2676,255,
330,2017,太原市,140100,山西省,中部,0,9113,4018,4749,346,5545,1710,3535,300,
331,2018,太原市,140100,山西省,中部,0,10931,5091,5391,449,6866,1605,4872,389,
332,2019,太原市,140100,山西省,中部,0,14086,5371,8049,666,7518,1755,5267,496,
333,2020,太原市,140100,山西省,中部,0,18012,5912,11285,815,12294,2254,9244,796,
334,2021,太原市,140100,山西省,中部,0,17585,6507,10175,903,16957,2802,13159,996,
335,2022,太原市,140100,山西省,中部,0,17527,7073,9321,1133,15918,3740,11160,1018,
336,2023,太原市,140100,山西省,中部,0,10989,5859,4691,439,14128,4496,8718,914,
337,2000,大同市,140200,山西省,中部,0,81,18,50,13,48,2,36,10,
338,2001,大同市,140200,山西省,中部,0,60,10,40,10,63,2,51,10,
339,2002,大同市,140200,山西省,中部,0,56,11,40,5,51,3,41,7,
340,2003,大同市,140200,山西省,中部,0,49,19,25,5,49,5,40,4,
341,2004,大同市,140200,山西省,中部,0,74,22,41,11,30,5,20,5,
342,2005,大同市,140200,山西省,中部,0,91,21,47,23,76,11,41,24,
343,2006,大同市,140200,山西省,中部,0,123,32,80,11,52,7,36,9,
344,2007,大同市,140200,山西省,中部,0,146,41,91,14,109,9,90,10,
345,2008,大同市,140200,山西省,中部,0,205,67,128,10,130,9,108,13,
346,2009,大同市,140200,山西省,中部,0,239,71,137,31,149,12,127,10,
347,2010,大同市,140200,山西省,中部,0,243,99,128,16,232,39,156,37,
348,2011,大同市,140200,山西省,中部,0,364,174,166,24,209,48,147,14,
349,2012,大同市,140200,山西省,中部,0,669,225,406,38,251,40,177,34,
350,2013,大同市,140200,山西省,中部,0,565,218,308,39,542,49,462,31,
351,2014,大同市,140200,山西省,中部,0,582,186,331,65,428,56,334,38,
352,2015,大同市,140200,山西省,中部,0,873,240,564,69,650,134,406,110,
353,2016,大同市,140200,山西省,中部,0,1285,294,909,82,949,117,776,56,
354,2017,大同市,140200,山西省,中部,0,1458,449,935,74,851,87,693,71,
355,2018,大同市,140200,山西省,中部,0,1830,704,1068,58,1185,119,994,72,
356,2019,大同市,140200,山西省,中部,0,2069,555,1399,115,1187,122,981,84,
357,2020,大同市,140200,山西省,中部,0,2303,534,1606,163,1871,191,1539,141,
358,2021,大同市,140200,山西省,中部,0,2047,546,1352,149,2226,238,1806,182,
359,2022,大同市,140200,山西省,中部,0,1462,367,962,133,1659,177,1345,137,
360,2023,大同市,140200,山西省,中部,0,827,329,422,76,1200,205,868,127,
361,2000,阳泉市,140300,山西省,中部,0,48,4,44,0,32,2,30,0,
362,2001,阳泉市,140300,山西省,中部,0,49,5,41,3,59,5,53,1,
363,2002,阳泉市,140300,山西省,中部,0,42,5,37,0,43,2,39,2,
364,2003,阳泉市,140300,山西省,中部,0,43,11,30,2,42,3,39,0,
365,2004,阳泉市,140300,山西省,中部,0,48,12,33,3,28,1,24,3,
366,2005,阳泉市,140300,山西省,中部,0,55,13,36,6,37,2,30,5,
367,2006,阳泉市,140300,山西省,中部,0,77,37,36,4,35,3,29,3,
368,2007,阳泉市,140300,山西省,中部,0,125,59,57,9,57,4,50,3,
369,2008,阳泉市,140300,山西省,中部,0,202,93,84,25,78,5,63,10,
370,2009,阳泉市,140300,山西省,中部,0,235,47,155,33,119,10,86,23,
371,2010,阳泉市,140300,山西省,中部,0,280,165,106,9,204,14,154,36,
372,2011,阳泉市,140300,山西省,中部,0,378,153,204,21,146,11,123,12,
373,2012,阳泉市,140300,山西省,中部,0,608,160,389,59,315,25,262,28,
374,2013,阳泉市,140300,山西省,中部,0,477,281,157,39,464,24,385,55,
375,2014,阳泉市,140300,山西省,中部,0,402,164,191,47,232,14,165,53,
376,2015,阳泉市,140300,山西省,中部,0,432,92,278,62,333,33,248,52,
377,2016,阳泉市,140300,山西省,中部,0,600,255,275,70,379,23,283,73,
378,2017,阳泉市,140300,山西省,中部,0,898,439,440,19,351,18,290,43,
379,2018,阳泉市,140300,山西省,中部,0,745,398,327,20,421,42,358,21,
380,2019,阳泉市,140300,山西省,中部,0,727,218,470,39,380,30,322,28,
381,2020,阳泉市,140300,山西省,中部,0,1263,296,919,48,661,35,588,38,
382,2021,阳泉市,140300,山西省,中部,0,1108,213,838,57,1172,38,1073,61,
383,2022,阳泉市,140300,山西省,中部,0,747,194,508,45,921,74,788,59,
384,2023,阳泉市,140300,山西省,中部,0,430,106,291,33,663,116,503,44,
385,2000,长治市,140400,山西省,中部,0,60,10,42,8,37,6,25,6,
386,2001,长治市,140400,山西省,中部,0,52,12,36,4,56,8,43,5,
387,2002,长治市,140400,山西省,中部,0,78,13,38,27,41,4,31,6,
388,2003,长治市,140400,山西省,中部,0,48,14,34,0,73,5,41,27,
389,2004,长治市,140400,山西省,中部,0,74,12,40,22,52,5,28,19,
390,2005,长治市,140400,山西省,中部,0,75,17,50,8,57,13,38,6,
391,2006,长治市,140400,山西省,中部,0,121,38,69,14,58,10,43,5,
392,2007,长治市,140400,山西省,中部,0,195,64,112,19,101,10,77,14,
393,2008,长治市,140400,山西省,中部,0,402,176,202,24,147,4,129,14,
394,2009,长治市,140400,山西省,中部,0,543,266,225,52,260,22,211,27,
395,2010,长治市,140400,山西省,中部,0,655,341,260,54,371,30,261,80,
396,2011,长治市,140400,山西省,中部,0,914,520,329,65,449,68,319,62,
397,2012,长治市,140400,山西省,中部,0,1110,525,437,148,547,105,351,91,
398,2013,长治市,140400,山西省,中部,0,1159,556,480,123,856,74,608,174,
399,2014,长治市,140400,山西省,中部,0,1176,551,534,91,696,107,499,90,
400,2015,长治市,140400,山西省,中部,0,865,297,495,73,716,144,495,77,
401,2016,长治市,140400,山西省,中部,0,806,206,498,102,704,164,448,92,
402,2017,长治市,140400,山西省,中部,0,1117,336,733,48,597,84,441,72,
403,2018,长治市,140400,山西省,中部,0,1464,309,1093,62,857,63,747,47,
404,2019,长治市,140400,山西省,中部,0,2339,370,1846,123,1357,49,1229,79,
405,2020,长治市,140400,山西省,中部,0,3171,571,2464,136,2263,85,2040,138,
406,2021,长治市,140400,山西省,中部,0,2864,511,2184,169,3037,108,2770,159,
407,2022,长治市,140400,山西省,中部,0,2669,481,2042,146,2751,154,2429,168,
408,2023,长治市,140400,山西省,中部,0,1542,436,1005,101,2436,301,1969,166,
409,2000,晋城市,140500,山西省,中部,0,31,6,20,5,30,3,23,4,
410,2001,晋城市,140500,山西省,中部,0,24,6,16,2,26,2,20,4,
411,2002,晋城市,140500,山西省,中部,0,28,8,13,7,24,2,19,3,
412,2003,晋城市,140500,山西省,中部,0,46,21,21,4,18,1,12,5,
413,2004,晋城市,140500,山西省,中部,0,51,23,26,2,30,6,17,7,
414,2005,晋城市,140500,山西省,中部,0,53,15,30,8,37,4,26,7,
415,2006,晋城市,140500,山西省,中部,0,69,32,25,12,41,12,28,1,
416,2007,晋城市,140500,山西省,中部,0,125,37,50,38,53,10,32,11,
417,2008,晋城市,140500,山西省,中部,0,215,55,68,92,100,14,53,33,
418,2009,晋城市,140500,山西省,中部,0,337,132,132,73,186,16,72,98,
419,2010,晋城市,140500,山西省,中部,0,427,123,233,71,266,16,162,88,
420,2011,晋城市,140500,山西省,中部,0,492,160,224,108,415,45,304,66,
421,2012,晋城市,140500,山西省,中部,0,717,226,296,195,467,39,213,215,
422,2013,晋城市,140500,山西省,中部,0,725,262,330,133,601,34,387,180,
423,2014,晋城市,140500,山西省,中部,0,595,214,319,62,439,42,340,57,
424,2015,晋城市,140500,山西省,中部,0,706,258,375,73,522,74,367,81,
425,2016,晋城市,140500,山西省,中部,0,614,225,366,23,377,67,267,43,
426,2017,晋城市,140500,山西省,中部,0,975,411,538,26,424,68,342,14,
427,2018,晋城市,140500,山西省,中部,0,963,287,646,30,630,55,542,33,
428,2019,晋城市,140500,山西省,中部,0,1187,210,935,42,730,34,670,26,
429,2020,晋城市,140500,山西省,中部,0,1568,263,1243,62,1123,45,1019,59,
430,2021,晋城市,140500,山西省,中部,0,1692,332,1286,74,1633,92,1455,86,
431,2022,晋城市,140500,山西省,中部,0,1709,315,1323,71,1679,91,1521,67,
432,2023,晋城市,140500,山西省,中部,0,894,273,584,37,1471,172,1234,65,
433,2000,朔州市,140600,山西省,中部,0,13,0,11,2,7,0,5,2,
434,2001,朔州市,140600,山西省,中部,0,18,4,8,6,18,1,13,4,
435,2002,朔州市,140600,山西省,中部,0,9,3,5,1,12,1,7,4,
436,2003,朔州市,140600,山西省,中部,0,11,1,10,0,7,2,4,1,
437,2004,朔州市,140600,山西省,中部,0,13,3,7,3,12,2,9,1,
438,2005,朔州市,140600,山西省,中部,0,15,6,7,2,10,0,8,2,
439,2006,朔州市,140600,山西省,中部,0,34,16,11,7,9,1,6,2,
440,2007,朔州市,140600,山西省,中部,0,40,17,20,3,21,2,12,7,
441,2008,朔州市,140600,山西省,中部,0,74,25,38,11,34,5,26,3,
442,2009,朔州市,140600,山西省,中部,0,129,62,61,6,57,8,39,10,
443,2010,朔州市,140600,山西省,中部,0,148,93,46,9,73,10,55,8,
444,2011,朔州市,140600,山西省,中部,0,292,184,97,11,95,14,67,14,
445,2012,朔州市,140600,山西省,中部,0,412,233,143,36,146,23,91,32,
446,2013,朔州市,140600,山西省,中部,0,493,318,127,48,220,13,193,14,
447,2014,朔州市,140600,山西省,中部,0,711,520,110,81,264,21,132,111,
448,2015,朔州市,140600,山西省,中部,0,194,68,99,27,149,19,100,30,
449,2016,朔州市,140600,山西省,中部,0,269,61,174,34,172,26,122,24,
450,2017,朔州市,140600,山西省,中部,0,328,95,210,23,212,14,174,24,
451,2018,朔州市,140600,山西省,中部,0,359,85,240,34,247,20,192,35,
452,2019,朔州市,140600,山西省,中部,0,501,50,387,64,294,16,227,51,
453,2020,朔州市,140600,山西省,中部,0,785,124,593,68,500,12,420,68,
454,2021,朔州市,140600,山西省,中部,0,785,155,552,78,828,33,719,76,
455,2022,朔州市,140600,山西省,中部,0,687,162,473,52,731,43,622,66,
456,2023,朔州市,140600,山西省,中部,0,350,118,192,40,499,56,384,59,
457,2000,晋中市,140700,山西省,中部,0,90,22,65,3,74,9,58,7,
458,2001,晋中市,140700,山西省,中部,0,90,16,39,35,82,9,69,4,
459,2002,晋中市,140700,山西省,中部,0,81,19,53,9,86,13,35,38,
460,2003,晋中市,140700,山西省,中部,0,100,28,62,10,67,11,49,7,
461,2004,晋中市,140700,山西省,中部,0,117,20,80,17,72,12,47,13,
462,2005,晋中市,140700,山西省,中部,0,114,24,75,15,95,11,70,14,
463,2006,晋中市,140700,山西省,中部,0,157,35,98,24,114,10,92,12,
464,2007,晋中市,140700,山西省,中部,0,232,47,128,57,147,18,106,23,
465,2008,晋中市,140700,山西省,中部,0,241,71,136,34,190,10,151,29,
466,2009,晋中市,140700,山西省,中部,0,339,79,192,68,217,19,139,59,
467,2010,晋中市,140700,山西省,中部,0,421,129,174,118,313,25,204,84,
468,2011,晋中市,140700,山西省,中部,0,469,167,205,97,350,50,182,118,
469,2012,晋中市,140700,山西省,中部,0,611,204,275,132,396,61,232,103,
470,2013,晋中市,140700,山西省,中部,0,640,193,290,157,543,54,342,147,
471,2014,晋中市,140700,山西省,中部,0,738,204,379,155,540,67,323,150,
472,2015,晋中市,140700,山西省,中部,0,842,262,539,41,703,86,464,153,
473,2016,晋中市,140700,山西省,中部,0,1051,272,687,92,693,86,556,51,
474,2017,晋中市,140700,山西省,中部,0,1743,460,1080,203,985,107,756,122,
475,2018,晋中市,140700,山西省,中部,0,2098,575,1306,217,1441,85,1089,267,
476,2019,晋中市,140700,山西省,中部,0,2643,587,1821,235,1533,79,1282,172,
477,2020,晋中市,140700,山西省,中部,0,3146,547,2362,237,2359,109,1989,261,
478,2021,晋中市,140700,山西省,中部,0,2964,630,1978,356,3254,169,2761,324,
479,2022,晋中市,140700,山西省,中部,0,2400,539,1584,277,2471,215,1938,318,
480,2023,晋中市,140700,山西省,中部,0,1622,521,884,217,2395,441,1618,336,
481,2000,运城市,140800,山西省,中部,0,107,22,40,45,110,22,67,21,
482,2001,运城市,140800,山西省,中部,0,95,25,56,14,107,14,47,46,
483,2002,运城市,140800,山西省,中部,0,139,36,79,24,88,15,54,19,
484,2003,运城市,140800,山西省,中部,0,170,51,81,38,117,18,70,29,
485,2004,运城市,140800,山西省,中部,0,182,54,99,29,123,22,65,36,
486,2005,运城市,140800,山西省,中部,0,143,40,86,17,128,18,94,16,
487,2006,运城市,140800,山西省,中部,0,277,83,77,117,147,24,104,19,
488,2007,运城市,140800,山西省,中部,0,223,89,96,38,222,25,78,119,
489,2008,运城市,140800,山西省,中部,0,330,79,176,75,152,24,106,22,
490,2009,运城市,140800,山西省,中部,0,355,106,196,53,322,50,192,80,
491,2010,运城市,140800,山西省,中部,0,408,115,240,53,346,45,223,78,
492,2011,运城市,140800,山西省,中部,0,501,163,246,92,379,66,255,58,
493,2012,运城市,140800,山西省,中部,0,851,238,472,141,520,64,330,126,
494,2013,运城市,140800,山西省,中部,0,882,286,443,153,717,68,483,166,
495,2014,运城市,140800,山西省,中部,0,1010,295,520,195,805,81,566,158,
496,2015,运城市,140800,山西省,中部,0,1130,317,632,181,997,150,631,216,
497,2016,运城市,140800,山西省,中部,0,1447,397,675,375,951,192,533,226,
498,2017,运城市,140800,山西省,中部,0,1796,570,899,327,1038,106,584,348,
499,2018,运城市,140800,山西省,中部,0,1969,692,1018,259,1389,128,948,313,
500,2019,运城市,140800,山西省,中部,0,2730,615,1701,414,1395,87,1018,290,
501,2020,运城市,140800,山西省,中部,0,3357,742,2162,453,2526,129,1936,461,
502,2021,运城市,140800,山西省,中部,0,2790,668,1680,442,3073,225,2354,494,
503,2022,运城市,140800,山西省,中部,0,2496,504,1550,442,2536,225,1805,506,
504,2023,运城市,140800,山西省,中部,0,1443,427,825,191,2250,340,1573,337,
505,2000,忻州市,140900,山西省,中部,0,30,11,17,2,18,2,15,1,
506,2001,忻州市,140900,山西省,中部,0,42,11,28,3,31,3,23,5,
507,2002,忻州市,140900,山西省,中部,0,33,19,14,0,24,1,23,0,
508,2003,忻州市,140900,山西省,中部,0,35,13,21,1,26,9,16,1,
509,2004,忻州市,140900,山西省,中部,0,52,22,25,5,28,11,16,1,
510,2005,忻州市,140900,山西省,中部,0,49,12,32,5,35,7,24,4,
511,2006,忻州市,140900,山西省,中部,0,70,24,33,13,48,13,29,6,
512,2007,忻州市,140900,山西省,中部,0,80,31,38,11,51,7,39,5,
513,2008,忻州市,140900,山西省,中部,0,153,39,75,39,70,7,48,15,
514,2009,忻州市,140900,山西省,中部,0,189,49,100,40,130,20,68,42,
515,2010,忻州市,140900,山西省,中部,0,305,102,118,85,214,21,136,57,
516,2011,忻州市,140900,山西省,中部,0,336,118,134,84,225,27,115,83,
517,2012,忻州市,140900,山西省,中部,0,470,149,167,154,243,42,116,85,
518,2013,忻州市,140900,山西省,中部,0,614,256,218,140,369,25,197,147,
519,2014,忻州市,140900,山西省,中部,0,453,149,174,130,387,31,221,135,
520,2015,忻州市,140900,山西省,中部,0,371,95,215,61,398,51,209,138,
521,2016,忻州市,140900,山西省,中部,0,450,149,218,83,324,58,196,70,
522,2017,忻州市,140900,山西省,中部,0,600,219,321,60,342,49,219,74,
523,2018,忻州市,140900,山西省,中部,0,626,183,334,109,463,48,326,89,
524,2019,忻州市,140900,山西省,中部,0,757,141,544,72,476,36,340,100,
525,2020,忻州市,140900,山西省,中部,0,1123,151,884,88,761,43,632,86,
526,2021,忻州市,140900,山西省,中部,0,1185,191,907,87,1250,59,1100,91,
527,2022,忻州市,140900,山西省,中部,0,898,183,626,89,1107,93,920,94,
528,2023,忻州市,140900,山西省,中部,0,612,235,330,47,803,160,563,80,
529,2000,临汾市,141000,山西省,中部,0,59,15,38,6,50,9,39,2,
530,2001,临汾市,141000,山西省,中部,0,68,8,50,10,60,9,42,9,
531,2002,临汾市,141000,山西省,中部,0,75,19,45,11,62,5,47,10,
532,2003,临汾市,141000,山西省,中部,0,71,13,37,21,69,13,43,13,
533,2004,临汾市,141000,山西省,中部,0,84,16,37,31,57,8,26,23,
534,2005,临汾市,141000,山西省,中部,0,91,24,59,8,72,8,40,24,
535,2006,临汾市,141000,山西省,中部,0,100,37,49,14,69,6,55,8,
536,2007,临汾市,141000,山西省,中部,0,173,59,77,37,84,11,61,12,
537,2008,临汾市,141000,山西省,中部,0,317,207,82,28,124,5,87,32,
538,2009,临汾市,141000,山西省,中部,0,310,116,122,72,144,22,81,41,
539,2010,临汾市,141000,山西省,中部,0,388,135,157,96,258,29,145,84,
540,2011,临汾市,141000,山西省,中部,0,495,192,231,72,339,47,177,115,
541,2012,临汾市,141000,山西省,中部,0,660,235,271,154,402,74,238,90,
542,2013,临汾市,141000,山西省,中部,0,797,338,254,205,563,67,309,187,
543,2014,临汾市,141000,山西省,中部,0,1063,479,308,276,588,87,302,199,
544,2015,临汾市,141000,山西省,中部,0,1060,567,381,112,694,97,341,256,
545,2016,临汾市,141000,山西省,中部,0,1052,576,400,76,544,106,335,103,
546,2017,临汾市,141000,山西省,中部,0,1425,799,537,89,497,91,365,41,
547,2018,临汾市,141000,山西省,中部,0,1530,737,712,81,788,82,599,107,
548,2019,临汾市,141000,山西省,中部,0,1502,212,1183,107,830,53,694,83,
549,2020,临汾市,141000,山西省,中部,0,2064,277,1662,125,1519,53,1335,131,
550,2021,临汾市,141000,山西省,中部,0,1921,315,1482,124,2246,71,2039,136,
551,2022,临汾市,141000,山西省,中部,0,1611,232,1275,104,1707,100,1496,111,
552,2023,临汾市,141000,山西省,中部,0,812,238,522,52,1339,128,1115,96,
553,2000,吕梁市,141100,山西省,中部,0,31,6,23,2,27,5,21,1,
554,2001,吕梁市,141100,山西省,中部,0,41,12,20,9,29,7,20,2,
555,2002,吕梁市,141100,山西省,中部,0,44,13,29,2,32,4,17,11,
556,2003,吕梁市,141100,山西省,中部,0,21,6,12,3,37,9,27,1,
557,2004,吕梁市,141100,山西省,中部,0,48,4,26,18,29,13,12,4,
558,2005,吕梁市,141100,山西省,中部,0,56,11,26,19,51,5,26,20,
559,2006,吕梁市,141100,山西省,中部,0,112,36,46,30,43,4,25,14,
560,2007,吕梁市,141100,山西省,中部,0,110,24,53,33,78,3,48,27,
561,2008,吕梁市,141100,山西省,中部,0,185,47,74,64,102,9,61,32,
562,2009,吕梁市,141100,山西省,中部,0,149,75,48,26,155,20,72,63,
563,2010,吕梁市,141100,山西省,中部,0,260,128,69,63,142,22,58,62,
564,2011,吕梁市,141100,山西省,中部,0,463,235,121,107,157,25,84,48,
565,2012,吕梁市,141100,山西省,中部,0,460,288,134,38,250,32,112,106,
566,2013,吕梁市,141100,山西省,中部,0,592,412,129,51,236,26,165,45,
